lighting,lux,distance_actual,avg_distance_estimated,fill_rate,filename
dawn_dusk,556,5.04,,,dawn_dusk_5m.bag
dawn_dusk,556,4.03,,,dawn_dusk_4m.bag
dawn_dusk,556,3.045,,,dawn_dusk_3m.bag
dawn_dusk,556,2.073,,,dawn_dusk_2m.bag
dawn_dusk,556,1.066,,,dawn_dusk_1m.bag
overcast,7380,4.996,,,overcast_5m.bag
overcast,7380,4.03,,,overcast_4m.bag
overcast,7380,2.974,,,overcast_3m.bag
overcast,7380,2.017,,,overcast_2m.bag
overcast,7380,1.06,,,overcast_1m.bag
full_daylight,22279,5.047,,,full_daylight_5m.bag
full_daylight,22279,4.089,,,full_daylight_4m.bag
full_daylight,22279,3.039,,,full_daylight_3m.bag
full_daylight,22279,2.043,,,full_daylight_2m.bag
full_daylight,22279,1.027,,,full_daylight_1m.bag
direct_sunlight,102837,5,,,direct_sunlight_5m.bag
direct_sunlight,102837,4,,,direct_sunlight_4m.bag
direct_sunlight,102837,3,,,direct_sunlight_3m.bag
direct_sunlight,102837,2,,,direct_sunlight_2m.bag
direct_sunlight,102837,1,,,direct_sunlight_1m.bag
